no,seq,time_epoch,retransmission,out_of_order
20352,17911904,1716238938.957355000,,
20354,17914546,1716238938.957419000,,
20355,17915867,1716238938.957570000,,
20357,17917188,1716238938.957765000,,
20358,17918509,1716238938.957906000,,
20360,17919830,1716238938.957925000,,
20361,17921151,1716238938.958088000,,
20363,17926435,1716238938.965255000,,
20365,17929077,1716238938.965994000,,
20367,17931719,1716238938.967424000,,
20369,17934361,1716238938.967504000,,
20371,17935682,1716238938.967522000,,
20373,17937003,1716238938.967790000,,
20375,17939645,1716238938.967861000,,
20377,17940966,1716238938.967978000,,
20379,17942287,1716238938.969120000,,
20381,17944929,1716238938.969220000,,
20383,17946250,1716238938.969341000,,
20385,17947571,1716238938.969450000,,
20387,17948892,1716238938.975988000,,
20388,17950213,1716238938.975988000,,
20391,17922472,1716238938.976525000,1,
20393,17951534,1716238938.979010000,,
20395,17954176,1716238938.979934000,,
20397,17955497,1716238938.980084000,,
20399,17956818,1716238938.985658000,,
20401,17958139,1716238938.986549000,,
20403,17923793,1716238938.986703000,1,
20405,17959460,1716238938.986850000,,
20407,17960781,1716238938.988516000,,
20409,17962102,1716238938.990352000,,
20411,17964744,1716238938.995030000,,
20413,17966065,1716238938.996455000,,
20414,17925114,1716238938.996455000,1,
20417,17967386,1716238938.996570000,,
20419,17968707,1716238938.996619000,,
20420,17970028,1716238938.997622000,,
20422,17971349,1716238939.000082000,,
20423,17972670,1716238939.005643000,,
20425,17973991,1716238939.006047000,,
20426,17975312,1716238939.006114000,,
20428,17976633,1716238939.007151000,,
20429,17977954,1716238939.007171000,,
20431,17979275,1716238939.007298000,,
20432,17980596,1716238939.007499000,,
20434,17981917,1716238939.007548000,,
20435,17983238,1716238939.007790000,,
20437,17984559,1716238939.021367000,,
20438,17985880,1716238939.022109000,,
20440,17987201,1716238939.022251000,,
20441,17988522,1716238939.023772000,,
20443,17992485,1716238939.023820000,,
20444,17993806,1716238939.026841000,,
20445,17995127,1716238939.026841000,,
20447,17996448,1716238939.027499000,,
20449,17997769,1716238939.027583000,,
20450,17999090,1716238939.027765000,,
20452,18000411,1716238939.027860000,,
20453,18001732,1716238939.027947000,,
20455,18003053,1716238939.031987000,,
20457,18005695,1716238939.033114000,,
20459,18008337,1716238939.033213000,,
20460,18009658,1716238939.033336000,,
20462,18010979,1716238939.036743000,,
20463,18014942,1716238939.036831000,,
20466,18017584,1716238939.036898000,,
20467,18018905,1716238939.037101000,,
20469,18020226,1716238939.037202000,,
20470,18021547,1716238939.037302000,,
20472,18022868,1716238939.041938000,,
20474,18025510,1716238939.042797000,,
20476,18028152,1716238939.042906000,,
20477,18029473,1716238939.043019000,,
20479,18030794,1716238939.046747000,,
20480,18032115,1716238939.047797000,,
20482,18034757,1716238939.049225000,,
20483,18038720,1716238939.049317000,,
20485,18040041,1716238939.049461000,,
20486,18041362,1716238939.049937000,,
20488,18042683,1716238939.051020000,,
20489,18044004,1716238939.052987000,,
20490,18045325,1716238939.052987000,,
20492,18046646,1716238939.053110000,,
20493,18047967,1716238939.053156000,,
20495,18050609,1716238939.057708000,,
20496,18051930,1716238939.058564000,,
20497,18054572,1716238939.058564000,,
20499,18055893,1716238939.060052000,,
20500,18057214,1716238939.060098000,,
20502,18058535,1716238939.060202000,,
20503,18059856,1716238939.060328000,,
20505,18061177,1716238939.060508000,,
20506,18062498,1716238939.060619000,,
20508,18063819,1716238939.062102000,,
20510,18066461,1716238939.063393000,,
20511,18070424,1716238939.063462000,,
20513,18071745,1716238939.068468000,,
20515,18075708,1716238939.068898000,,
20516,18077029,1716238939.069000000,,
20518,18078350,1716238939.069108000,,
20519,18079671,1716238939.069205000,,
20521,18080992,1716238939.069334000,,
20523,18082313,1716238939.070338000,,
20525,18084955,1716238939.071935000,,
20526,18086276,1716238939.073032000,,
20527,18087597,1716238939.073032000,,
20529,18088918,1716238939.073222000,,
20531,18090239,1716238939.073671000,,
20532,18091560,1716238939.073815000,,
20534,18092881,1716238939.077933000,,
20536,18095523,1716238939.078632000,,
20537,18096844,1716238939.078648000,,
20539,18098165,1716238939.078758000,,
20540,18099486,1716238939.078875000,,
20542,18100807,1716238939.078965000,,
20543,18102128,1716238939.080097000,,
20545,18103449,1716238939.080937000,,
20546,18104770,1716238939.080984000,,
20548,18106091,1716238939.081170000,,
20550,18107412,1716238939.083310000,,
20552,18111375,1716238939.083424000,,
20553,18112696,1716238939.083569000,,
